transaction_id,product,price,quantity,region
1,Monitor,238,2,Dammam
2,Keyboard,825,3,Dammam
3,Monitor,1415,4,Abha
4,Monitor,320,3,Dammam
5,Keyboard,1276,3,Tabuk
6,Tablet,639,5,Tabuk
7,Tablet,1777,2,Dammam
8,Tablet,492,3,Abha
9,Tablet,641,5,Abha
10,Phone,1951,4,Riyadh
11,Tablet,774,4,Tabuk
12,Tablet,77,1,Abha
13,Keyboard,615,3,Jeddah
14,Monitor,753,2,Tabuk
15,Phone,695,3,Riyadh
16,Tablet,1633,1,Abha
17,Keyboard,1275,1,Jeddah
18,Monitor,682,1,Jeddah
19,Laptop,590,5,Abha
20,Keyboard,1069,5,Tabuk
21,Monitor,190,3,Tabuk
22,Tablet,1303,5,Riyadh
23,Keyboard,1582,4,Abha
24,Laptop,369,4,Dammam
25,Tablet,125,3,Tabuk
26,Keyboard,360,2,Dammam
27,Laptop,863,1,Tabuk
28,Tablet,1892,4,Dammam
29,Laptop,493,5,Abha
30,Keyboard,1483,5,Riyadh
31,Monitor,1657,3,Riyadh
32,Keyboard,988,2,Abha
33,Phone,386,3,Dammam
34,Tablet,462,5,Riyadh
35,Keyboard,973,4,Jeddah
36,Monitor,593,4,Jeddah
37,Phone,1419,3,Abha
38,Keyboard,452,1,Dammam
39,Laptop,203,1,Tabuk
40,Keyboard,533,5,Jeddah
41,Monitor,1721,3,Tabuk
42,Laptop,789,4,Tabuk
43,Tablet,746,2,Tabuk
44,Monitor,1044,5,Dammam
45,Keyboard,519,4,Abha
46,Phone,1491,2,Tabuk
47,Phone,268,2,Abha
48,Monitor,679,4,Riyadh
49,Keyboard,1998,1,Abha
50,Laptop,760,1,Dammam
51,Laptop,1547,4,Dammam
52,Keyboard,1503,2,Tabuk
53,Phone,751,5,Tabuk
54,Keyboard,1648,1,Abha
55,Phone,1977,1,Dammam
56,Monitor,896,3,Tabuk
57,Phone,834,4,Abha
58,Keyboard,1952,2,Dammam
59,Phone,320,2,Abha
60,Laptop,378,4,Jeddah
61,Tablet,597,1,Abha
62,Keyboard,1223,4,Dammam
63,Laptop,777,4,Dammam
64,Keyboard,591,4,Abha
65,Keyboard,1123,2,Jeddah
66,Tablet,113,2,Riyadh
67,Phone,893,1,Dammam
68,Phone,1871,3,Dammam
69,Tablet,1172,1,Dammam
70,Tablet,316,3,Riyadh
71,Tablet,1817,2,Abha
72,Laptop,1520,1,Tabuk
73,Keyboard,1323,4,Jeddah
74,Monitor,630,1,Abha
75,Monitor,1362,1,Tabuk
76,Keyboard,1303,4,Jeddah
77,Monitor,582,5,Abha
78,Phone,1012,5,Riyadh
79,Phone,79,5,Tabuk
80,Phone,206,1,Dammam
81,Tablet,885,5,Dammam
82,Laptop,400,4,Jeddah
83,Keyboard,873,2,Tabuk
84,Keyboard,590,2,Riyadh
85,Keyboard,1209,2,Dammam
86,Phone,770,5,Riyadh
87,Laptop,1935,4,Jeddah
88,Tablet,1929,2,Dammam
89,Monitor,1068,5,Jeddah
90,Laptop,1275,3,Tabuk
91,Monitor,1837,3,Jeddah
92,Phone,125,1,Dammam
93,Phone,269,3,Abha
94,Laptop,306,3,Tabuk
95,Tablet,1395,5,Abha
96,Tablet,1687,1,Tabuk
97,Phone,282,4,Dammam
98,Tablet,640,5,Jeddah
99,Monitor,1623,4,Dammam
100,Phone,388,3,Abha
101,Phone,423,5,Abha
102,Keyboard,1525,5,Jeddah
103,Tablet,1283,1,Riyadh
104,Monitor,680,3,Jeddah
105,Keyboard,1494,3,Riyadh
106,Monitor,1741,3,Abha
107,Monitor,102,3,Dammam
108,Monitor,1767,1,Dammam
109,Phone,1417,3,Tabuk
110,Laptop,926,3,Riyadh
111,Monitor,1114,4,Dammam
112,Tablet,243,4,Dammam
113,Tablet,1296,2,Tabuk
114,Laptop,855,5,Jeddah
115,Phone,1590,2,Riyadh
116,Tablet,1414,4,Abha
117,Keyboard,724,1,Jeddah
118,Keyboard,1348,4,Abha
119,Phone,1370,5,Riyadh
120,Monitor,490,1,Tabuk
121,Keyboard,1905,3,Dammam
122,Tablet,866,3,Dammam
123,Keyboard,1455,5,Tabuk
124,Laptop,708,2,Riyadh
125,Phone,970,4,Dammam
126,Laptop,1217,4,Abha
127,Laptop,202,2,Tabuk
128,Tablet,1250,1,Jeddah
129,Monitor,1377,5,Abha
130,Monitor,434,4,Dammam
131,Monitor,829,1,Dammam
132,Tablet,962,4,Tabuk
133,Laptop,1287,3,Abha
134,Phone,1021,4,Dammam
135,Keyboard,808,5,Riyadh
136,Keyboard,1474,5,Tabuk
137,Phone,949,1,Riyadh
138,Laptop,1450,5,Tabuk
